Feature,Class
0.23473829846174366,0
0.5703807901545169,1
0.8664764936192271,2
0.7108840875377471,2
0.8804464160891413,2
0.17700330145827325,0
0.14155009151698983,0
0.6750316444682217,2
0.6968076743060803,2
0.8342957704872748,2
0.3673923934950474,1
0.7268164701043156,2
0.7607103589467302,2
0.3409450149560229,1
0.8794590742811278,2
0.5663112398683373,1
0.19537503876751583,0
0.39780174507707133,1
0.5042974116863368,1
0.6985528154643524,2
0.9626800373022452,2
0.4049004634606328,1
0.17046370434936842,0
0.164175584048595,0
0.5980196068543675,1
0.5565440604524367,1
0.697665132578198,2
0.22097092390604722,0
0.09175479635657413,0
0.5879832575392923,1
0.2690083726415837,0
0.08237904130191676,0
0.7686416100424981,2
0.3081525612042145,0
0.9064821858324869,2
0.3791133280415444,1
0.9829281777205017,2
0.2793697548188113,0
0.04319358157080744,0
0.2106994413625085,0
0.8786891349209117,2
0.04787226752645479,0
0.7221190876552797,2
0.6815794325059128,2
0.4162626130682181,1
0.5973089040642626,1
0.8124408393966991,2
0.4462609232955629,1
0.2745021570989965,0
0.831641170220842,2
0.38513757026090556,1
0.8688333202520152,2
0.2788068343179766,0
0.5756392944065615,1
0.3875045036278407,1
0.32745442400644087,0
0.5884404214212082,1
0.8025548948528454,2
0.1628857467448831,0
0.12174023624133568,0
0.9697072120528291,2
0.6737653312813697,2
0.8926871073654573,2
0.6818941721600231,2
0.8414575819300871,2
0.3861460674590803,1
0.617273198215716,1
0.4774783644019882,1
0.9848091393298294,2
0.49754077630773896,1
0.7188123120963433,2
0.08921828720124936,0
0.23255075386334412,0
0.5952039704541002,1
0.21326730689173834,0
0.17899715851655684,0
0.3190741417128319,0
0.08265456128258653,0
0.5705635528492623,1
0.8141457422512803,2
0.7088144029252501,2
0.9446852876517974,2
0.45066817129407044,1
0.7764504264050616,2
0.7829714594542946,2
0.7318770264446558,2
0.0017372648808030577,0
0.17946457887995115,0
0.7982491122862919,2
0.7362616733907111,2
0.25843553414487586,0
0.17661921077594234,0
0.9729557010499206,2
0.7267451296283469,2
0.6648221491308203,2
0.331045817392696,1
0.16440367552365553,0
0.5653900668152153,1
0.9088417386232169,2
0.273595212815646,0
0.5533192268669856,1
0.5937137921602296,1
0.7781199996818791,2
0.3946526559079828,1
0.6155213346866257,1
0.022501380995070597,0
0.745835259785979,2
0.74004981457524,2
0.5185975772017972,1
0.015695777027136648,0
0.43822163679159043,1
0.7763104309765636,2
0.7905551236279081,2
0.045185854023644834,0
0.8188061090233785,2
0.629888628947615,1
0.23193340460291767,0
0.047694234028949234,0
0.435724595425518,1
0.40299044449187116,1
0.3453849624592037,1
0.40608986165209116,1
0.6944833744068379,2
0.570645796468841,1
0.7737672556346605,2
0.555309804985393,1
0.2809811514954944,0
0.757844842023673,2
0.6438376594189341,1
0.16423370499258672,0
0.6834262213953359,2
0.558371282847416,1
0.32343465319340425,0
0.43544141361199706,1
0.0894015864405946,0
0.8020601424847613,2
0.26234355397852105,0
0.4881309272656832,1
0.35125255921928356,1
0.9761160245350754,2
0.31141073935587793,0
0.6778782852021633,2
0.42287723986533354,1
0.5208649841580273,1
0.021312978045502695,0
0.3743834080338089,1
0.15514625474163057,0
0.19331063048539854,0
0.4829129095070287,1
0.12819372976782906,0
0.17275356888736282,0
0.784299907051171,2
0.8270620499745568,2
0.8630077838961631,2
0.329241797107383,0
0.9537967232041734,2
0.8214690205935904,2
0.5378353864169123,1
0.7907600581987712,2
0.795838343841761,2
0.9959460067923643,2
0.8994951932092636,2
0.9156078442597475,2
0.169508668024835,0
0.6217019504146933,1
0.7219714438651263,2
0.7012656799566296,2
0.2106562292908969,0
0.11144597057289485,0
0.558913607592269,1
0.7393493168644754,2
0.06842271749889317,0
0.8802733860970171,2
0.2796663669943281,0
0.20039304193165053,0
0.8442118692982947,2
